"longevity","condition"
103,"Null"
57,"Null"
58,"Null"
48,"Null"
76,"Null"
85,"Null"
44,"Null"
50,"Null"
80,"Null"
47,"Null"
59,"Null"
59,"Null"
92,"Null"
90,"Null"
79,"Null"
38,"Null"
47,"Null"
74,"Null"
80,"Null"
91,"Null"
65,"Null"
77,"Null"
86,"Null"
69,"Null"
70,"Null"
66,"OnePreg"
46,"OnePreg"
78,"OnePreg"
87,"OnePreg"
45,"OnePreg"
46,"OnePreg"
62,"OnePreg"
78,"OnePreg"
82,"OnePreg"
72,"OnePreg"
76,"OnePreg"
54,"OnePreg"
55,"OnePreg"
45,"OnePreg"
74,"OnePreg"
55,"OnePreg"
47,"OnePreg"
49,"OnePreg"
54,"OnePreg"
50,"OnePreg"
89,"OnePreg"
47,"OnePreg"
69,"OnePreg"
85,"OnePreg"
64,"OnePreg"
71,"OneVirgin"
90,"OneVirgin"
68,"OneVirgin"
80,"OneVirgin"
59,"OneVirgin"
52,"OneVirgin"
98,"OneVirgin"
45,"OneVirgin"
75,"OneVirgin"
57,"OneVirgin"
65,"OneVirgin"
81,"OneVirgin"
77,"OneVirgin"
59,"OneVirgin"
82,"OneVirgin"
71,"OneVirgin"
99,"OneVirgin"
85,"OneVirgin"
71,"OneVirgin"
64,"OneVirgin"
61,"OneVirgin"
86,"OneVirgin"
75,"OneVirgin"
55,"OneVirgin"
54,"OneVirgin"
79,"EightPreg"
57,"EightPreg"
56,"EightPreg"
72,"EightPreg"
60,"EightPreg"
36,"EightPreg"
76,"EightPreg"
49,"EightPreg"
45,"EightPreg"
54,"EightPreg"
33,"EightPreg"
41,"EightPreg"
63,"EightPreg"
15,"EightPreg"
49,"EightPreg"
87,"EightPreg"
40,"EightPreg"
55,"EightPreg"
66,"EightPreg"
49,"EightPreg"
53,"EightPreg"
58,"EightPreg"
61,"EightPreg"
75,"EightPreg"
71,"EightPreg"
47,"EightVirgin"
39,"EightVirgin"
60,"EightVirgin"
32,"EightVirgin"
45,"EightVirgin"
44,"EightVirgin"
38,"EightVirgin"
43,"EightVirgin"
27,"EightVirgin"
44,"EightVirgin"
26,"EightVirgin"
35,"EightVirgin"
46,"EightVirgin"
36,"EightVirgin"
39,"EightVirgin"
39,"EightVirgin"
34,"EightVirgin"
14,"EightVirgin"
30,"EightVirgin"
26,"EightVirgin"
27,"EightVirgin"
53,"EightVirgin"
44,"EightVirgin"
55,"EightVirgin"
33,"EightVirgin"
